type,key,pattern,result,ingredients
minecraft:crafting_shaped,{'#': {'item': 'minecraft:acacia_planks'}},"['# #', '###']",{'item': 'minecraft:acacia_boat'},
minecraft:crafting_shapeless,,,{'item': 'minecraft:acacia_button'},[{'item': 'minecraft:acacia_planks'}]
minecraft:crafting_shapeless,,,{'item': 'minecraft:acacia_chest_boat'},"[{'item': 'minecraft:chest'}, {'item': 'minecraft:acacia_boat'}]"
minecraft:crafting_shaped,{'#': {'item': 'minecraft:acacia_planks'}},"['##', '##', '##']","{'count': 3, 'item': 'minecraft:acacia_door'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'W': {'item': 'minecraft:acacia_planks'}}","['W#W', 'W#W']","{'count': 3, 'item': 'minecraft:acacia_fence'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'W': {'item': 'minecraft:acacia_planks'}}","['#W#', '#W#']",{'item': 'minecraft:acacia_fence_gate'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stripped_acacia_log'}, 'X': {'item': 'minecraft:chain'}}","['X X', '###', '###']","{'count': 6, 'item': 'minecraft:acacia_hanging_sign'}",
minecraft:crafting_shapeless,,,"{'count': 4, 'item': 'minecraft:acacia_planks'}",[{'tag': 'minecraft:acacia_logs'}]
minecraft:crafting_shaped,{'#': {'item': 'minecraft:acacia_planks'}},['##'],{'item': 'minecraft:acacia_pressure_plate'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:acacia_planks'}, 'X': {'item': 'minecraft:stick'}}","['###', '###', ' X ']","{'count': 3, 'item': 'minecraft:acacia_sign'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:acacia_planks'}},['###'],"{'count': 6, 'item': 'minecraft:acacia_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:acacia_planks'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:acacia_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:acacia_planks'}},"['###', '###']","{'count': 2, 'item': 'minecraft:acacia_trapdoor'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:acacia_log'}},"['##', '##']","{'count': 3, 'item': 'minecraft:acacia_wood'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:redstone_torch'}, 'S': {'item': 'minecraft:stick'}, 'X': {'item': 'minecraft:iron_ingot'}}","['XSX', 'X#X', 'XSX']","{'count': 6, 'item': 'minecraft:activator_rail'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:amethyst_shard'}},"['##', '##']",{'item': 'minecraft:amethyst_block'},
minecraft:crafting_shapeless,,,"{'count': 2, 'item': 'minecraft:andesite'}","[{'item': 'minecraft:diorite'}, {'item': 'minecraft:cobblestone'}]"
minecraft:crafting_shaped,{'#': {'item': 'minecraft:andesite'}},['###'],"{'count': 6, 'item': 'minecraft:andesite_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:andesite'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:andesite_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:andesite'}},"['###', '###']","{'count': 6, 'item': 'minecraft:andesite_wall'}",
minecraft:crafting_shaped,"{'I': {'item': 'minecraft:iron_block'}, 'i': {'item': 'minecraft:iron_ingot'}}","['III', ' i ', 'iii']",{'item': 'minecraft:anvil'},
minecraft:crafting_special_armordye,,,,
minecraft:crafting_shaped,"{'/': {'item': 'minecraft:stick'}, '_': {'item': 'minecraft:smooth_stone_slab'}}","['///', ' / ', '/_/']",{'item': 'minecraft:armor_stand'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'X': {'item': 'minecraft:flint'}, 'Y': {'item': 'minecraft:feather'}}","['X', '#', 'Y']","{'count': 4, 'item': 'minecraft:arrow'}",
minecraft:crafting_shapeless,,,{'item': 'minecraft:bamboo_block'},"[{'item': 'minecraft:bamboo'}, {'item': 'minecraft:bamboo'}, {'item': 'minecraft:bamboo'}, {'item': 'minecraft:bamboo'}, {'item': 'minecraft:bamboo'}, {'item': 'minecraft:bamboo'}, {'item': 'minecraft:bamboo'}, {'item': 'minecraft:bamboo'}, {'item': 'minecraft:bamboo'}]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:bamboo_button'},[{'item': 'minecraft:bamboo_planks'}]
minecraft:crafting_shapeless,,,{'item': 'minecraft:bamboo_chest_raft'},"[{'item': 'minecraft:chest'}, {'item': 'minecraft:bamboo_raft'}]"
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bamboo_planks'}},"['##', '##', '##']","{'count': 3, 'item': 'minecraft:bamboo_door'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'W': {'item': 'minecraft:bamboo_planks'}}","['W#W', 'W#W']","{'count': 3, 'item': 'minecraft:bamboo_fence'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'W': {'item': 'minecraft:bamboo_planks'}}","['#W#', '#W#']",{'item': 'minecraft:bamboo_fence_gate'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stripped_bamboo_block'}, 'X': {'item': 'minecraft:chain'}}","['X X', '###', '###']","{'count': 6, 'item': 'minecraft:bamboo_hanging_sign'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bamboo_slab'}},"['#', '#']",{'item': 'minecraft:bamboo_mosaic'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bamboo_mosaic'}},['###'],"{'count': 6, 'item': 'minecraft:bamboo_mosaic_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bamboo_mosaic'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:bamboo_mosaic_stairs'}",
minecraft:crafting_shapeless,,,"{'count': 2, 'item': 'minecraft:bamboo_planks'}",[{'tag': 'minecraft:bamboo_blocks'}]
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bamboo_planks'}},['##'],{'item': 'minecraft:bamboo_pressure_plate'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bamboo_planks'}},"['# #', '###']",{'item': 'minecraft:bamboo_raft'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:bamboo_planks'}, 'X': {'item': 'minecraft:stick'}}","['###', '###', ' X ']","{'count': 3, 'item': 'minecraft:bamboo_sign'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bamboo_planks'}},['###'],"{'count': 6, 'item': 'minecraft:bamboo_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bamboo_planks'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:bamboo_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bamboo_planks'}},"['###', '###']","{'count': 2, 'item': 'minecraft:bamboo_trapdoor'}",
